Title,Year,Rating,Rank
The Terminator,1984,8.1,703
"Crouching Tiger, Hidden Dragon",2000,7.9,704
The Prisoner of Zenda,1937,7.6,705
The War Game,1966,8,706
Close Encounters of the Third Kind,1977,7.6,707
Kolya,1996,7.7,708
For All Mankind,1989,8.1,709
Louie Bluie,1985,7.6,710
The Invisible Man,1933,7.6,711
Jenny Lamour,1947,7.7,712
Marty,1955,7.7,713
Love and Death,1975,7.7,714
Casque d'Or,1952,7.6,715
The Pawnbroker,1964,7.7,716
The Official Story,1985,7.7,717
The Bad Sleep Well,1960,8,718
A Raisin in the Sun,1961,8,719
The Fiances,1963,7.6,720
Nausicaä of the Valley of the Wind,1984,8,721
The Man from Earth,2007,7.8,722
Arrival,2016,7.9,723
Mustang,2015,7.6,724
A Clockwork Orange,1971,8.3,725
The Big City,1963,8.3,726
It's a Gift,1934,7.1,727
The New Land,1972,8,728
Dallas Buyers Club,2013,7.9,729
Amores Perros,2000,8.1,730
Jodorowsky's Dune,2013,8,731
Young Mr. Lincoln,1939,7.5,732
Carlos,2010,7.6,733
The Goddess,1960,7.7,734
The Search,1948,7.8,735
McCabe & Mrs. Miller,1971,7.6,736
The Marriage of Maria Braun,1979,7.7,737
Three Identical Strangers,2018,7.6,738
Dark Eyes,1987,7.3,739
The Hurt Locker,2008,7.5,740
"Oslo, August 31st",2011,7.6,741
American Movie,1999,7.8,742
The Killing Fields,1984,7.8,743
Horse Feathers,1932,7.5,744
Fat City,1972,7.3,745
'Round Midnight,1986,7.4,746
C.R.A.Z.Y.,2005,7.8,747
Hold Back the Dawn,1941,7.3,748
The Executioner,1963,7.9,749
Sling Blade,1996,8,750
My Life as a Dog,1985,7.6,751
Winchester '73,1950,7.6,752
Ju Dou,1990,7.6,753
The Docks of New York,1928,7.5,754
Footlight Parade,1933,7.5,755
The Silence of the Sea,1949,7.6,756
Toy Story 2,1999,7.9,757
Paper Moon,1973,8.1,758
Zero Dark Thirty,2012,7.4,759
Blue Is the Warmest Colour,2013,7.7,760
Jiro Dreams of Sushi,2011,7.8,761
Chronicle of a Boy Alone,1965,7.5,762
Carol,2015,7.2,763
The Salesman,2016,7.7,764
Dinner at Eight,1933,7.5,765
Logan,2017,8.1,766
Weekend,2011,7.6,767
Mommy,2014,8,768
Pina,2011,7.6,769
Taxi,2015,7.3,770
Claire's Knee,1970,7.5,771
Rebel Without a Cause,1955,7.6,772
Bob the Gambler,1956,7.6,773
Lola,1961,7.5,774
Saturday Night and Sunday Morning,1960,7.5,775
Vengeance Is Mine,1979,7.7,776
The Big Sleep,1978,5.7,777
The Chasers,1959,7.3,778
Star Wars: Episode VII - The Force Awakens,2015,7.8,779
Guardians of the Galaxy,2014,8,780
The Cloud-Capped Star,1960,7.8,781
The Martian,2015,8,782
Creed,2015,7.6,783
Isle of Dogs,2018,7.8,784
Silver Linings Playbook,2012,7.7,785
The Green Ray,1986,7.6,786
Slumdog Millionaire,2008,8,787
Nightcrawler,2014,7.8,788
Loveless,2017,7.6,789
The Blue Angel,1930,7.7,790
Jour de Fête,1949,7.2,791
Shanghai Express,1932,7.3,792
The Man Without a Past,2002,7.6,793
The Remains of the Day,1993,7.8,794
Obsession,1943,7.6,795
The Gunfighter,1950,7.7,796
Il Posto,1961,7.9,797
Cousin Jules,1972,7.5,798
Skyfall,2012,7.8,799
The Phantom of Liberty,1974,7.8,800
Manila in the Claws of Light,1975,7.8,901
Cameraperson,2016,7.4,902
Goldfinger,1964,7.7,903
Closely Watched Trains,1966,7.6,904
5 Fingers,1952,7.6,905
Osaka Elegy,1936,7.2,906
True Grit,2010,7.6,907
Nebraska,2013,7.7,908
Diva,1981,7.2,909
Paterson,2016,7.3,910
You Can Count on Me,2000,7.5,911
Kiss Me Deadly,1955,7.5,912
Dead of Night,1945,7.5,913
Westfront 1918,1930,7.4,914
The Young One,1960,7.4,915
Ponette,1996,7.5,916
The Postman,1994,7.8,917
Northwest Passage,1940,7,918
The Red Turtle,2016,7.5,919
A Touch of Zen,1971,7.5,920
The Bank Dick,1940,7.1,921
The Station Agent,2003,7.6,922
Forbidden Planet,1956,7.5,923
The Wild Child,1970,7.5,924
Le Grand Amour,1969,7.5,925
Longford,2006,7.5,926
Leolo,1992,7.4,927
The Match Factory Girl,1990,7.5,928
BlacKkKlansman,2018,7.5,929
Hugo,2011,7.5,930
If....,1968,7.4,931
The Draughtsman's Contract,1982,7.2,932
Raining Stones,1993,7.3,933
The Class,2008,7.5,934
Pinocchio,1940,7.5,935
Days of Being Wild,1990,7.4,936
War for the Planet of the Apes,2017,7.4,937
Suspiria,1977,7.3,938
The Freshman,1925,7.5,939
Sicario,2015,7.7,940
The Wailing,2016,7.4,941
L'Argent,1983,7.4,942
Boudu Saved from Drowning,1932,7.2,943
Baby Doll,1956,7.3,944
The Lusty Men,1952,7.3,945
Criss Cross,1949,7.4,946
Snow White and the Seven Dwarfs,1937,7.6,947
If Beale Street Could Talk,2018,7.1,948
Gavagai,2016,6.5,949
White Sun,2016,7.1,950
Superman,1978,7.4,951
Battleground,1949,7.4,952
Looper,2012,7.4,953
Kaili Blues,2015,7.3,954
The Pearls of the Crown,1937,6.9,955
Shaun the Sheep Movie,2015,7.3,956
Starred Up,2013,7.3,957
Krisha,2015,7.1,958
The Girlfriends,1955,7.1,959
Heidi,2015,7.4,960
Toni Erdmann,2016,7.3,961
Sweet Sixteen,2002,7.4,962
Mudbound,2017,7.4,963
Picnic at Hanging Rock,1975,7.4,964
A Room with a View,1985,7.2,965
The Regeneration,1915,6.8,966
Henry V,1944,7,967
On Dangerous Ground,1951,7.2,968
Salvatore Giuliano,1962,7.3,969
The Baker's Wife,1938,7.5,970
American Graffiti,1973,7.4,971
The Wandering Soap Opera,2017,6.5,972
Li'l Quinquin,2014,7.3,973
Point Blank,1967,7.3,974
The Golden Coach,1952,7,975
Three Sisters,2012,7.3,976
American Hustle,2013,7.2,977
Graduation,2016,7.3,978
Ashik Kerib,1988,7.2,979
Lucky,2017,7.3,980
Cinderella,1950,7.3,981
My Twentieth Century,1989,7.1,982
Morocco,1930,7,983
The Death of Stalin,2017,7.2,984
Animal Kingdom,2010,7.2,985
Housekeeping,1987,7.1,986
The Tall T,1957,7.3,987
45 Years,2015,7.1,988
Ilo Ilo,2013,7.2,989
Heart of a Dog,1988,8.6,990
Shazam!,2019,7,991
People on Sunday,1930,7.3,992
Heart of a Dog,2015,7,993
Gate of Hell,1953,7.1,994
Hard to Be a God,2013,6.6,995
Cold Water,1994,7,996
We the Animals,2018,6.9,997
David Holzman's Diary,1967,6.5,998
Moonrise,1948,7,999
Caught,1949,7,1000
