Title,Year,Rating,Rank
The Best Years of Our Lives,1946,8.1,186
Holiday,1938,7.7,187
Breathless,1960,7.7,188
Tampopo,1985,7.9,189
Werckmeister Harmonies,2000,8,190
Through a Glass Darkly,1961,7.9,191
Edvard Munch,1974,8.2,192
Duck Soup,1933,7.7,193
Jules and Jim,1962,7.7,194
Badlands,1973,7.7,195
The Thin Man,1934,7.9,196
"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles",1975,7.5,197
El Sur,1983,7.8,198
Rio Bravo,1959,8,199
Sullivan's Travels,1941,7.9,200
La La Land,2016,8,401
The King's Speech,2010,8,402
The Handmaiden,2016,8.1,403
Network,1976,8.1,404
Secrets & Lies,1996,8,405
The Salt of the Earth,2014,8.4,406
The Man Who Shot Liberty Valance,1962,8.1,407
Raise the Red Lantern,1991,8.1,408
Divorce Italian Style,1961,8,409
City of God,2002,8.6,410
Autumn Sonata,1978,8.1,411
Germany Year Zero,1948,7.8,412
Burden of Dreams,1982,7.9,413
Amour,2012,7.9,414
Poetry,2010,7.8,415
Wake in Fright,1971,7.6,416
Bringing Up Baby,1938,7.8,417
Who's Afraid of Virginia Woolf?,1966,8,418
"Lacombe, Lucien",1974,7.6,419
Before Sunset,2004,8.1,420
A Prophet,2009,7.8,421
Barry Lyndon,1975,8.1,422
Once Upon a Time in America,1984,8.3,423
Pandora's Box,1929,7.8,424
Sholay,1975,8.1,425
The Elementary School,1991,7.8,426
Mission: Impossible - Fallout,2018,7.7,427
Hell or High Water,2016,7.6,428
The Great White Silence,1922,8,429
Histoire(s) du cinéma,1989,7.2,430
Roma,2018,7.7,431
This Is Spinal Tap,1984,7.9,432
The Cranes Are Flying,1957,8.3,433
Two Women,1960,7.7,434
Memento,2000,8.4,435
Local Hero,1983,7.3,436
The Ox-Bow Incident,1942,8,437
Brief Encounter,1945,8,438
"A Bread Factory, Part One",2018,6.8,439
"Three Billboards Outside Ebbing, Missouri",2017,8.1,440
Selma,2014,7.5,441
Do the Right Thing,1989,8,442
The Work,2017,7.8,443
Belle de Jour,1967,7.6,444
The 39 Steps,1935,7.6,445
Dog Day Afternoon,1975,8,446
La Chienne,1931,7.5,447
Gone with the Wind,1939,8.2,448
All About My Mother,1999,7.8,449
Mary and Max,2009,8.1,450
The French Connection,1971,7.7,451
Record of a Tenement Gentleman,1947,7.7,452
The Earth Trembles,1948,7.8,453
A Patch of Blue,1965,8,454
The Adventures of Robin Hood,1938,7.9,455
Monterey Pop,1968,8,456
The Climb,2019,6.7,457
Dunkirk,2017,7.8,458
Lady Bird,2017,7.4,459
To Kill a Mockingbird,1962,8.3,460
The Innocents,1961,7.8,461
Amarcord,1973,7.8,462
There Will Be Blood,2007,8.2,463
Waltz with Bashir,2008,8,464
The Lion King,1994,8.5,465
The Wild Pear Tree,2018,8,466
King Kong,1933,7.9,467
A Story from Chikamatsu,1954,8,468
The Organizer,1963,8,469
"Paris, Texas",1984,8.1,470
Let the Right One In,2008,7.8,471
Her,2013,8,472
Blade Runner,1982,8.1,473
Fargo,1996,8.1,474
Before Sunrise,1995,8.1,475
Pépé le Moko,1937,7.7,476
A Short Film About Love,1988,8.1,477
High and Low,1963,8.4,478
The Adventures of Prince Achmed,1926,7.8,479
A Hard Day's Night,1964,7.5,480
Frankenstein,1931,7.8,481
The Pianist,2002,8.5,482
The Little Mermaid,1989,7.6,483
Matewan,1987,7.9,484
Fireworks,1997,7.7,485
The Grand Budapest Hotel,2014,8.1,486
The Florida Project,2017,7.6,487
Last Year at Marienbad,1961,7.7,488
"Ivan the Terrible, Part I",1944,7.7,489
Show Boat,1936,7.4,490
The Goddess,1934,7.7,491
The Departed,2006,8.5,492
Leviathan,2014,7.6,493
Only Yesterday,1991,7.6,494
Scarface,1932,7.7,495
Captain Blood,1935,7.7,496
The Ladykillers,1955,7.6,497
World on a Wire,1973,7.7,498
Breaker Morant,1980,7.8,499
Carnival in Flanders,1935,7.4,500
2001: A Space Odyssey,1968,8.3,201
Toy Story 4,2019,7.7,202
The Last Waltz,1978,8.1,203
A Geisha,1953,7.6,204
Strangers on a Train,1951,7.9,205
The Hustler,1961,8,206
Shadow of a Doubt,1943,7.8,207
WALL·E,2008,8.4,208
Rosemary's Baby,1968,8,209
White Heat,1949,8.1,210
Dead Souls,2018,8,211
Cosy Dens,1999,8.1,212
The Wild Bunch,1969,7.9,213
L'Avventura,1960,7.7,214
The Killer,1989,7.8,215
The Earrings of Madame De...,1953,7.9,216
Amazing Grace,2018,7.5,217
A Streetcar Named Desire,1951,7.9,218
Black Narcissus,1947,7.7,219
Day of Wrath,1943,8.1,220
The Lives of Others,2006,8.4,221
Chimes at Midnight,1965,7.6,222
The Train,1964,7.8,223
Shoeshine,1946,8,224
Faces Places,2017,7.8,225
The Hidden Fortress,1958,8.1,226
Sanjuro,1962,8,227
Bob Dylan: The Other Side of the Mirror,2007,8.1,228
Persona,1966,8.1,229
Aparajito,1956,8.2,230
Top Hat,1935,7.7,231
The Lady Eve,1941,7.7,232
Safety Last!,1923,8.1,233
Bob Dylan: Dont Look Back,1967,7.9,234
Yi Yi,2000,8.1,235
The Shawshank Redemption,1994,9.3,236
Out of the Past,1947,8,237
To Be or Not to Be,1942,8.1,238
Spring in a Small Town,1948,7.3,239
The Right Stuff,1983,7.8,240
Cría Cuervos,1976,7.9,241
Ballad of a Soldier,1959,8.2,242
The Stranger,1991,8,243
It Happened One Night,1934,8.1,244
Brazil,1985,7.9,245
The Navigator,1924,7.6,246
In a Lonely Place,1950,7.9,247
Mad Max: Fury Road,2015,8.1,248
Anatomy of a Murder,1959,8,249
The Shop Around the Corner,1940,8,250
Paddington 2,2017,7.8,251
An Autumn Afternoon,1962,8,252
Withnail & I,1987,7.5,253
The Unknown,1927,7.7,254
Call Me by Your Name,2017,7.8,255
High Noon,1952,8,256
Diabolique,1955,8.1,257
A Night at the Opera,1935,7.8,258
Pickpocket,1959,7.6,259
La Jetée,1962,8.2,260
Berlin Alexanderplatz,1980,8.4,261
Thirst,1957,8.3,262
Day for Night,1973,8,263
Ratatouille,2007,8.1,264
Love Me Tonight,1932,7.5,265
Scenes from a Marriage,1974,8.3,266
The Social Network,2010,7.8,267
Night of the Living Dead,1968,7.8,268
Our Hospitality,1923,7.8,269
Red River,1948,7.8,270
Repulsion,1965,7.6,271
The Tale of The Princess Kaguya,2013,8,272
When a Woman Ascends the Stairs,1960,8.1,273
The Lord of the Rings: The Two Towers,2002,8.8,274
The God of Day Had Gone Down Upon Him,2000,7.7,275
The Tree of Wooden Clogs,1978,7.8,276
Seven Chances,1925,7.8,277
Star Wars: Episode IV - A New Hope,1977,8.6,278
Coco,2017,8.4,279
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,280
Salesman,1969,7.7,281
The Silence of the Lambs,1991,8.6,282
Toy Story,1995,8.3,283
Harakiri,1962,8.6,284
Tigers Are Not Afraid,2017,6.9,285
The Young and the Damned,1950,8.2,286
Babette's Feast,1987,7.8,287
The Artist,2011,7.9,288
The Sweet Hereafter,1997,7.5,289
The Killing,1956,7.9,290
My Darling Clementine,1946,7.7,291
Avengers: Endgame,2019,8.4,292
My Neighbor Totoro,1988,8.1,293
Three Colors: Blue,1993,7.9,294
Gold Diggers of 1933,1933,7.7,295
Song of the Sea,2014,8,296
I Vitelloni,1953,7.8,297
Letter from an Unknown Woman,1948,7.9,298
Tower,2016,7.9,299
Your Name.,2016,8.4,300
Trainspotting,1996,8.1,601
Band of Outsiders,1964,7.6,602
The Odd Couple,1968,7.6,603
The Friends of Eddie Coyle,1973,7.4,604
César,1936,7.6,605
The Diving Bell and the Butterfly,2007,8,606
The Usual Suspects,1995,8.5,607
Purple Noon,1960,7.7,608
Odd Man Out,1947,7.6,609
Honeyland,2019,8,610
Ball of Fire,1941,7.7,611
The Ghost and Mrs. Muir,1947,7.8,612
The Naked Island,1960,8,613
A Star Is Born,2018,7.6,614
Burning,2018,7.5,615
Mean Streets,1973,7.2,616
Cries & Whispers,1972,8,617
The Tarnished Angels,1957,7.1,618
Hunt for the Wilderpeople,2016,7.8,619
Last Train Home,2009,7.6,620
Johnny Guitar,1954,7.6,621
The Lion in Winter,1968,7.9,622
The Palm Beach Story,1942,7.5,623
"Black God, White Devil",1964,7.2,624
Pauline at the Beach,1983,7.3,625
56 Up,2012,7.9,626
The Princess Bride,1987,8,627
Lagaan: Once Upon a Time in India,2001,8.1,628
The Great Escape,1963,8.2,629
To Have and Have Not,1944,7.8,630
Knife in the Water,1962,7.4,631
Meet Me in St. Louis,1944,7.5,632
The Asphalt Jungle,1950,7.8,633
White Nights,1957,7.8,634
The Straight Story,1999,8,635
Moolaadé,2003,7.6,636
The Beaches of Agnès,2008,8,637
The Last Command,1928,8,638
Second Wind,1966,7.9,639
To Live,1994,8.3,640
Meshes of the Afternoon,1943,7.8,641
The Dark Knight Rises,2012,8.4,642
The Rider,2017,7.4,643
Before the Rain,1994,7.9,644
Grey Gardens,1975,7.5,645
Ace in the Hole,1951,8.1,646
Celine and Julie Go Boating,1974,7.2,647
The Given Word,1962,8.3,648
The Ascent,1977,8.2,649
The Wrestler,2008,7.9,650
Downfall,2004,8.2,651
The Return,2003,7.9,652
Peeping Tom,1960,7.6,653
Shane,1953,7.6,654
The Long Goodbye,1973,7.5,655
The Public Enemy,1931,7.6,656
Only Angels Have Wings,1939,7.6,657
Love Streams,1984,7.7,658
The Passion of Anna,1969,7.6,659
Beau Geste,1939,7.5,660
The Hill,1965,7.9,661
Terminator 2: Judgment Day,1991,8.6,662
Rogers Park,2017,7,663
Captain Phillips,2013,7.8,664
Nostalghia,1983,7.9,665
Once,2007,7.8,666
The Hunt,2012,8.3,667
Donnie Darko,2001,8,668
Hearts and Minds,1974,8.2,669
The Enigma of Kaspar Hauser,1974,7.7,670
Talk to Her,2002,7.9,671
Hannah and Her Sisters,1986,7.8,672
Charade,1963,7.8,673
The Killers,1946,7.7,674
Limelight,1952,8,675
The Criminal Life of Archibaldo de la Cruz,1955,7.6,676
Blue Velvet,1986,7.7,677
Camille Claudel,1988,7.3,678
Sing Street,2016,7.9,679
Touching the Void,2003,8,680
My Uncle,1958,7.7,681
Sons of the Desert,1933,7.5,682
Floating Clouds,1955,7.6,683
Black Panther,2018,7.3,684
Moonrise Kingdom,2012,7.8,685
Stories We Tell,2012,7.5,686
Timbuktu,2014,7.1,687
Columbus,2017,7.2,688
Young Frankenstein,1974,8,689
My Life to Live,1962,7.8,690
L'Eclisse,1962,7.7,691
My Night at Maud's,1969,7.8,692
The Butcher,1970,7.3,693
